Elon Musk
Jeff Bezos
Bill Gates
Larry Ellison
Mark Zuckerberg
Larry Page
Warren Buffett
Sergey Brin
Steve Ballmer
Michael Bloomberg
Jim Walton
Alice Walton
Rob Walton
Michael Dell
Phil Knight
MacKenzie Scott
Charles Koch
Julia Koch
Len Blavatnik
Stephen A. Schwarzman
John Franklyn Mars
Jacqueline Mars
Leonard Lauder
Miriam Adelson
Dan Gilbert
